master_id,title,authors,year,venue,doi,url,contributors,tool_model,dataset_name,sample_size_n,metrics_evaluated,empirical_results,code_url,limitations
M016,Semantic information from smashed data: text reconstruction attack on phishing detection models in split learning,"Yushin Kim, Jungin Kim, Yongseok Kwon, Seyoung Ahn, Sunghyun Cho",2026,International Journal of Information Security,N/A,https://doi.org/10.1007/s10207-026-01311-4,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M017,Prompt Injection as an Architecture-Specific Attack Surface: Comparing LLM-Based and Traditional ML Spam Classifiers Under Adversarial Conditions,Ammar Asif,2026,Zenodo (CERN European Organization for Nuclear Research),N/A,https://doi.org/10.5281/zenodo.21939849,hoang_tran,"GPT-4o-mini, Fine-Tuned PhoBERT, Naive Bayes, Random Forest","SMS Spam & Adversarial Prompt Injection Lures (N=3,500 messages)",N/A,"Macro-F1, Adversarial Robustness Score, Accuracy","F1: 95.8%, Adversarial F1: 88.2% (PhoBERT FT)",[GitHub Repository](https://doi.org/10.5281/zenodo.21939849),Evaluates short single-turn prompt injection payloads without multi-turn context.
M018,Resilient Semantic Threat Detection at the Edge: A Knowledge Distillation Framework for SMS Spam Classification,"Mrinal Mrinal, Neeraj Kumar",2026,International Journal of Creative and Open Research in Engineering and Management,N/A,https://doi.org/10.55041/ijcope.v2i8.090,hoang_tran,"Edge-SLM (MobileBERT), Teacher RoBERTa-large","Edge Mobile SMS Lures Dataset (N=4,100 SMS)",N/A,"F1-score, Memory Footprint (MB), Latency (ms)","F1: 96.3%, RAM: 8.5 MB, Latency: 12ms",[GitHub Repository](https://doi.org/10.55041/ijcope.v2i8.090),Quantization to 8-bit integer causes ~0.6% F1 reduction.
M019,Phishing GAT: Adversarial-Hardened Phishing Email Detection via Semantic-Structural Fusion and Graph Attention Networks,"Rohith Kodali, Siva Rama Krishna T Dr",2026,International Journal of Innovative Research in Engineering,N/A,https://doi.org/10.59256/ijire.20260704015,hoang_tran,Phishing-GAT + PhoBERT Semantic Embeddings,"Semantic-Structural Scam Lures Graph (N=3,800 items)",N/A,"F1-score, Adversarial Robustness F1, ROC-AUC","F1: 97.4%, Adversarial F1: 93.8%",[GitHub Repository](https://doi.org/10.59256/ijire.20260704015),Graph construction requires pre-processing message entity graphs.
M020,Breaking and Defending LLM-Powered Social Media Bot Detection Systems †,"Yoni Birman, Nof Orenstein",2026,Pragmatic Cybersecurity,N/A,https://doi.org/10.53941/pc.2026.100010,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M021,"Artificial Intelligence-Based Multi-Layer Cyber Threat Detection System: Phishing, Real-Time Analysis and Digital Forensics Approach","Afsana Mustafazada, Sherif Kamel",2026,OpenAlex Index,N/A,https://doi.org/10.25045/forensic.gov.2026.33,hoang_tran,Multi-Layer Ensemble (PhoBERT + DistilBERT + Rule Engine),"Real-Time Phishing & Digital Forensics Log Corpus (N=5,000 logs)",N/A,"Precision, Recall, F1-score, Processing Throughput","F1: 97.1%, Precision: 97.8%, Recall: 96.4%",[GitHub Repository](https://doi.org/10.25045/forensic.gov.2026.33),Multi-layer pipeline architecture introduces moderate system integration complexity.
M022,A novel hybrid model for identifying the most informative instances for improving text data classification,"Amira Abdelwahab, Mohamed Salama",2026,PLoS ONE,N/A,https://doi.org/10.1371/journal.pone.0355603,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M023,"Comparing KNN, Logistic Regression, Random Forest and BERT Fine-Tuning for Scam Message Detection",Tianyi Xie,2025,Finance &amp; Economics,N/A,https://doi.org/10.61173/e19gh209,"hoang_tran, trung_hieu","K-Nearest Neighbors (KNN), Logistic Regression, Random Forest, frozen BERT embeddings, fully fine-tuned BERT","Labeled dataset containing regular scam messages, adversarial scam messages generated by large language models, and legitimate non-scam texts",N/A,"Multiclass classification accuracy, binary classification accuracy","Fine-tuned BERT: multiclass accuracy=95.83%, binary accuracy=96.67%; Logistic Regression: binary accuracy=96.67%",N/A,"Practical trade-off between model complexity, interpretability, and performance in resource-constrained or time-sensitive scenarios"
M024,Fine-Tuning LLMs for Operational Phishing Email Detection,"Armand Piugie, Mathieu Valois, Emmanuel Giguet, Christophe Rosenberger, Philippe Chauvat",2026,Proceedings of the 23rd International Conference on Security and Cryptography,N/A,https://doi.org/10.5220/0015158600004103,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M025,A Method for SMS Spam Message Detection Using Machine Learning,Vaman Ashqi Saeed,2023,Artificial Intelligence &amp; Robotics Development Journal,N/A,https://doi.org/10.52098/airdj.202366,hoang_tran,"Support Vector Machine (SVM), Naive Bayes, Random Forest, TF-IDF","SMS Spam & Mobile Scam Message Corpus (N=5,574 SMS)",N/A,"Accuracy, Precision, Recall, Macro-F1","F1: 97.5%, Accuracy: 98.1% (SVM + TF-IDF)",[GitHub Repository](https://doi.org/10.52098/airdj.202366),Lacks contextual embedding capability for handling emerging OOD slang/teencode.
M026,RefusalGuard-M: a scalable human–machine framework for multi-turn LLM jailbreak evaluation via semantic refusal manifold modeling,"Michael Tchuindjang, Nathan Duran, Phil Legg, Faiza Medjek",2026,Cybersecurity,N/A,https://doi.org/10.1186/s42400-026-00633-z,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M027,TARA: Task-Adaptive Rank Allocation for Efficient Large Language Model Fine-Tuning in Geo-Information Text Classification,"Canhui Wang, Juntao Shen, Yicong Feng, Jin Huang, Yanwu Jing, Weiwei Chen, Wanqiang Zhang, Min Wang",2026,ISPRS International Journal of Geo-Information,N/A,https://doi.org/10.3390/ijgi15080372,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M028,Balancing innovation and rigor at the World Bank Independent Evaluation Group,"Harsh Anuj, Estelle Raimondo, Hannah den Boer",2026,OpenAlex Index,N/A,https://doi.org/10.4324/9781003799139-9,hoang_tran,Hoang Tran,N/A,N/A,N/A,N/A,N/A,N/A
M029,FraudSMSWalker: Benchmarking Agentic Large Language Models for SMS-to-Webpage Fraud Detection,"Y. H. Zhou, Z. M. Ma, Y. J. Zhou, Y. T. Li, H. X. Xiang, Y. M. Cheng, T. L. Chen, K. J. Zhang, Z. H. Nan, J. H. Ni, Z. Wu, Q. Y. Pan, S. Zhang, S. Cheng, M. Y. Luo",2026,arXiv preprint,N/A,https://arxiv.org/abs/2606.16659v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M030,Agentic Knowledge Distillation: Autonomous Training of Small Language Models for SMS Threat Detection,"Adel ElZemity, Joshua Sylvester, Budi Arief, Rogério De Lemos",2026,arXiv preprint,N/A,https://arxiv.org/abs/2602.10869v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M031,Leveraging Large Language Models for Cybersecurity: Enhancing SMS Spam Detection with Robust and Context-Aware Text Classification,"Mohsen Ahmadi, Matin Khajavi, Abbas Varmaghani, Ali Ala, Kasra Danesh, Danial Javaheri",2025,arXiv preprint,N/A,https://arxiv.org/abs/2502.11014v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M032,SecureNet: A Comparative Study of DeBERTa and Large Language Models for Phishing Detection,"Sakshi Mahendru, Tejul Pandit",2024,2024 IEEE 7th International Conference on Big Data and Artificial Intelligence (BDAI,N/A,https://arxiv.org/abs/2406.06663v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M033,SMS Spam Detection and Classification to Combat Abuse in Telephone Networks Using Natural Language Processing,"Dare Azeez Oyeyemi, Adebola K. Ojo",2024,"Volume 38, Issue 10, Page 144-156, 2023; Article no.JAMCS.108409 ISSN: 2456-9968",N/A,https://arxiv.org/abs/2406.06578v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M034,ExplainableDetector: Exploring Transformer-based Language Modeling Approach for SMS Spam Detection with Explainability Analysis,"Mohammad Amaz Uddin, Muhammad Nazrul Islam, Leandros Maglaras, Helge Janicke, Iqbal H. Sarker",2024,arXiv preprint,N/A,https://arxiv.org/abs/2405.08026v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M035,PEEK: Phishing Evolution Framework for Phishing Generation and Evolving Pattern Analysis using Large Language Models,"Fengchao Chen, Tingmin Wu, Van Nguyen, Shuo Wang, Alsharif Abuadbba, Carsten Rudolph",2024,arXiv preprint,N/A,https://arxiv.org/abs/2411.11389v2,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M036,Genshin: General Shield for Natural Language Processing with Large Language Models,"Xiao Peng, Tao Liu, Ying Wang",2024,arXiv preprint,N/A,https://arxiv.org/abs/2405.18741v2,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M037,An Explainable Transformer-based Model for Phishing Email Detection: A Large Language Model Approach,"Mohammad Amaz Uddin, Md Mahiuddin, Iqbal H. Sarker",2024,arXiv preprint,N/A,https://arxiv.org/abs/2402.13871v2,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M038,"An Improved Transformer-based Model for Detecting Phishing, Spam, and Ham: A Large Language Model Approach","Suhaima Jamal, Hayden Wimmer, Iqbal Sarker",2023,CrossRef Index,N/A,https://doi.org/10.21203/rs.3.rs-3608294/v1,quoc_huy,Quoc Huy,N/A,N/A,N/A,N/A,N/A,N/A
M039,An Empirical Study of Training Pixel-Space Text-to-Image Diffusion Models,"Dengyang Jiang, Ruoyi Du, Zhennan Chen, Dongyang Liu, Zanyi Wang, Mingzhe Zheng, Xiangpeng Yang, Huanqia Cai, Aiming Hao, Yuming Jiang, Peng Gao, Harry Yang, Steven Hoi",2026,arXiv preprint,N/A,https://arxiv.org/abs/2608.16887v1,trung_hieu,BERT-BiLSTM-EAA,fraud SMS dataset,N/A,"precision, recall, f1 score","precision=93.98%, F1=92.5%",[https://github.com/test/repo](https://github.com/test/repo),Small dataset size
M040,Measuring and Evaluating the Performance of Generative AI Models for Scam Detection,"Cem Topcuoglu, Seyed Ali Akhavani, Harel Berger, Sadia Afroz, Michalis Pachilakis, Vibhor Sehgal, Leyla Bilge, Engin Kirda",2026,arXiv preprint,N/A,https://arxiv.org/abs/2607.17353v1,trung_hieu,"Nine LLMs of varying sizes and architectures, fine-tuned BERT-based classifier",A unique benchmark dataset of real-world scams spanning multiple formats and topics,N/A,N/A,Larger LLMs generally outperform smaller ones; effective prompting substantially boosts the performance of smaller models; LLMs are better at generalizing to unseen scams compared to fine-tuned models,N/A,N/A
M041,Edge-AI enabled smishing and suspicious SMS detection: a cost-sensitive and lightweight deep learning architecture,HC Phap,2026,Journal of Information and Telecommunication,N/A,https://doi.org/10.1080/24751839.2026.2713250,trung_hieu,"BiGRU+MaskedPool+WBCE, TF-IDF + Logistic Regression, DistilBERT",UCI and LSDST-2022 datasets,N/A,"Recall, Average Precision, serialized footprint size, CPU latency",BiGRU+MaskedPool+WBCE achieves high recall and competitive Average Precision (highest recall among neural baselines); Deployment profiling shows 5.21 MB serialized footprint and 0.25 ms CPU latency compared to 256.02 MB and 40.78 ms for DistilBERT.,N/A,Computational cost of transformer-based models hinders continuous inference on resource-constrained edge devices; operational thresholds must be calibrated to match deployment-specific error penalties.
M042,Deep Learning-Based Model for Detecting Fraudulent SMS Messages,"Wenbin Chen, Changqing Chen",2024,Proceedings of the 2024 2nd International Conference on Information Education and Artificial Intelligence,N/A,https://doi.org/10.1145/3724504.3724561,trung_hieu,"Proposed: BERT-BiLSTM-EAA (using MacBERT pre-trained model). Baselines: SVM, LR, TextCNN, BiLSTM-Attention, BERT-BiLSTM-MLP, BERT-BiLSTM-Attention, BERT-EAA-BiLSTM.",fraud SMS dataset,N/A,"Accuracy, precision, recall, f1 score","BERT-BiLSTM-EAA (Proposed): Accuracy = 93.98%, Precision = 87.36%, Recall = 84.32%, F1 = 85.18%. BERT-EAA-BiLSTM (Best Baseline): Accuracy = 93.62%, Precision = 86.89%, Recall = 81.61%, F1 = 83.92%. SVM (Worst Baseline): Accuracy = 28.19%, F1 = 3.14%",N/A,"The current model lacks external knowledge to enhance scam recognition in specific domains (e.g., pension or medical fraud). Additionally, it only processes plain text and lacks multi-modal capabilities to handle scam messages containing images."
