paper_id,query_id,source_db,title,authors,year,venue,url_or_doi,abstract,keywords,v1_decision,v1_reason
bui2026vku,Q02,Google Scholar,VKU Forum-Internal Discussion Platform Integrating AI to Detect Harmful Content and Recommend Appropriate Content,QV Bui; PN Dam,2026,,https://elib.vku.udn.vn/bitstream/123456789/7345/1/22SE1B-22IT.B239-Bui%20Quoc%20Van-22SE2B-22IT.B139-Dam%20Phuong%20Nam-DATN.pdf,"In the Vietnamese market, Gen Z students make up the vast moderation using a large language model (LLM Moderation), and a Instead of simply displaying an error message, the LLM",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
nguyen2026mandollm,Q02,Google Scholar,MANDO-LLM: Heterogeneous graph transformers with large language models for smart contract vulnerability detection,NM Nguyen; HH Nguyen; T Long Le; Z Ahmadi,2026,ACM Transactions on …,https://dl.acm.org/doi/abs/10.1145/3765751,"LLM, a novel framework that combines heterogeneous graph transformers (HGTs) with large language models (LLMs MANDO-LLM uses LLMs to capture code features from control-flow",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
chau2026a,Q02,Google Scholar,A Large-Scale Vietnamese News Dataset for Text Classification: Construction and Evaluation,BN Chau; D Duong; P Tran,2026,IEEE Access,https://ieeexplore.ieee.org/abstract/document/11603335/,"Text classification, the task of automatically assigning including news recommendation engines, spam detection pipelines, and Future research will focus on efficient adaptation of LLMs",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
zhao2026understanding,Q02,Google Scholar,Understanding the Status and Strategies of the Code Signing Abuse Ecosystem.,H Zhao; Y Zhang; L Ying; M Zhang; B Liu; H Duan,2026,NDSS,https://www.researchgate.net/profile/Haixin-Duan/publication/404828422_Understanding_the_Status_and_Strategies_of_the_Code_Signing_Abuse_Ecosystem/links/6a0a84aaffeb2910364ba342/Understanding-the-Status-and-Strategies-of-the-Code-Signing-Abuse-Ecosystem.pdf,"not be recognized by SignTool (error message “No signature found” in LLM-based method, while NED introduces 152 false positives. Finally, to address potential randomness in LLM",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
bhuiyan2026,Q02,Google Scholar,""" Write in English, Nobody Understands Your Language Here"": A Study of Non-English Trends in Open-Source Repositories",MHM Bhuiyan; MKB Kumar; CA Staicu,2026,arXiv preprint arXiv:2602.19446,https://arxiv.org/abs/2602.19446,"The content of these issues points to a coordinated spam attack README files help first-time contributors from Vietnam Recent studies also show that LLMs tend to prefer Python,",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
strebeyko2026migiel,Q02,Google Scholar,Śmigiel Dataset: Laying Foundations for Investigating Machine-Generated Text Detection in Polish,J Strebeyko; A Wróblewska,2026,Proceedings of the …,https://www.researchgate.net/profile/Piotr-Przybyla/publication/404908733_Smigiel_Dataset_Laying_Foundations_for_Investigating_Machine-Generated_Text_Detection_in_Polish/links/6a0723712e263f2f077478e8/Smigiel-Dataset-Laying-Foundations-for-Investigating-Machine-Generated-Text-Detection-in-Polish.pdf,"Additionally, we also use some multilingual LLMs. The size of a model has an impact on the quality of generated texts: smaller models often produce less coherent outputs with",,EXCLUDE,EC1: Focuses on machine-generated text detection rather than scam/spam message classification.
epstein2026whose,Q02,Google Scholar,Whose Values? Measuring the (Subjective) Expression of Basic Human Values in Social Media Posts,Z Epstein; F Jahanbakhsh; T Piccardi,2026,Proceedings of the …,https://ojs.aaai.org/index.php/ICWSM/article/view/42664,"We evaluate to what extent large language models (LLMs) can identify the expression of the constructs of readability, coherence, spam behavior, and context required for understanding",,EXCLUDE,EC1: Focuses on measuring basic human values in social media posts rather than scam detection.
jundullah2026nlp,Q02,Google Scholar,NLP Based Tourism Service Optimization on Multilingual Voice Chatbot,M Jundullah; E Ermin; M Surahmanto; LJ Fakhri,2026,bit-Tech,https://jurnal.kdi.or.id/index.php/bt/article/view/3473,of NLP technology by integrating LLMs with the RAG method The optimization of NLP technology integrated with LLMs ability of undergraduate Vietnamese language students. The,,EXCLUDE,EC1: Focuses on tourism service optimization and multilingual voice chatbots.
tang2026combination,Q02,Google Scholar,Combination of mixed encoding and deep learning for email security sentiment classification,RR Tang,2026,The Computer Journal,https://academic.oup.com/comjnl/advance-article-abstract/doi/10.1093/comjnl/bxag047/8665721,"Phishing emails are a subtype of spam designed to trick recipients into disclosing sensitive information such as passwords or credit card details. Since Spam Generative LLMs, achieve",,EXCLUDE,Pending Title and Abstract screening review
gattermayer2026too,Q02,Google Scholar,"Too Much Sharing, Too Little Security: Authentication Cookie Theft At Scale",T Gattermayer; H Schulmann,2026,… of the ACM Web Conference 2026,https://dl.acm.org/doi/abs/10.1145/3774904.3792409,"creation as a means to combat spam and we aim to develop an , which utilizes a large language model to assess login Brazil, Indonesia and Vietnam are at the top accounting for",,EXCLUDE,EC1: Focuses on authentication cookie theft rather than semantic text classification of scam messages.
tasawong2026seaguard,Q02,Google Scholar,SEA-Guard: Culturally Grounded Multilingual Safeguard for Southeast Asia,P Tasawong; JG Ngui; AF Aji; T Cohn,2026,Findings of the …,https://aclanthology.org/2026.findings-acl.141/,"requirements and guidelines for LLMs to generate cultural , and target language into an LLM to generate SEA cultural Tamil, 2 Thai, and 4 Vietnamese annotators, each of whom needs",,EXCLUDE,EC1: Focuses on general LLM safeguarding and cultural alignment for Southeast Asia rather than scam classification.
pham2026website,Q02,Google Scholar,Website for booking tour and hotel chains integrated with AI chatbots,VH Pham,2026,,https://elib.vku.udn.vn/bitstream/123456789/7159/1/21SE5-21IT484-Pham%20Van%20Hoang-DATN.pdf,"- In recent years, Vietnam's tourism industry has experienced a - Protecting APIs from attacks such as spam or sending multiple Gemini is a Large Language Model (LLM) that can",,EXCLUDE,EC1: Focuses on tour/hotel booking web applications and API protection rather than scam message classification.
fenstermacher2026the,Q02,Google Scholar,The importance of cognitive defense and cognitive resilience in an age of gen AI information warfare,L Fenstermacher; K Larson; C Clouse,2026,"… Fusion, and Target …",https://www.spiedigitallibrary.org/proceedings/Download?urlId=10.1117%2F12.3095736,"LLMs, AI poses cognitive defense challenges by enabling through deepfakes, automated phishing, and synthetic Minh, in 1969 during the conflict in Vietnam, stated, “The life or death of",,EXCLUDE,EC4: Purely theoretical discussion paper lacking empirical evaluation or dataset for scam classification.
ngo2026generative,Q02,Google Scholar,Generative AI in marketing: mapping evolving ethical concerns through social network analysis,VM Ngo; TM Vu,2026,International Journal of Ethics and Systems,https://www.emerald.com/ijoes/article/doi/10.1108/IJOES-02-2026-0150/1383439,"these entities using a Large Language Model (LLM) governed by a First, the raw data set was filtered to exclude spam and low- First, spam and noise were removed using established",,EXCLUDE,"EC3: Does not focus on scam message detection or classification using LLMs/PLMs as the primary intervention, dealing instead with marketing ethics."
nguyen2026solutions,Q02,Google Scholar,Solutions to Improve the Effectiveness of Search Engine Optimization (SEO) Activities for the Nicenest. vn Website at Nicenest Urban Investment and Development …,TBT Nguyen,2026,,https://elib.vku.udn.vn/bitstream/123456789/7142/1/22DM-22DM095-Nguyen%20Thi%20Bich%20Tien-DATN.pdf,I would like to sincerely thank the teachers of the Faculty of Digital Economy and E-Commerce for imparting to me valuable background knowledge and expertise throughout the,,EXCLUDE,EC4: Purely business or web SEO report lacking experimental datasets or empirical evaluation of scam text classification.
li2026the,Q02,Google Scholar,The rise of AI agent communities: Large-scale analysis of discourse and interaction on Moltbook,L Li; R Ma; C Chen; Z Lu; Y Zhang,2026,arXiv preprint arXiv:2602.12634,https://arxiv.org/abs/2602.12634,"To analyze the social dynamics of LLM agents, we turn to machine psychology, a field that shifts the focus from engineering Agents alert users to a spam feed message from Mintdragon.",,EXCLUDE,EC4: Focuses on social dynamics of LLM agent communities rather than empirical text classification of scam messages.
team2026singguardnsfa,Q02,Google Scholar,SingGuard-NSFA: Extensible Guardrails for Agentic AI via Generative Reasoning and Real-Time Classification,SG Team,2026,arXiv preprint arXiv:2607.13081,https://arxiv.org/abs/2607.13081,The rapid evolution of Large Language Models (LLMs) into autonomous agents marks a from a systematic survey of industry frameworks for LLM and agent security (OWASP,,EXCLUDE,EC1: Focuses on general agentic AI guardrails and security frameworks rather than specific text-based scam message classification.
tran2026research,Q02,Google Scholar,Research and Development of a Real-Time AI-Integrated Network Intrusion Detection System,DH Tran,2026,,https://elib.vku.udn.vn/bitstream/123456789/7078/1/21NS-21IT203-Tran%20Doan%20Hoang-DATN.pdf,AI-Powered Phishing: A new generation of phishing attacks that leverage Large Language Models (LLMs) to generate highly personalized and convincing phishing content. These,,EXCLUDE,EC1: Focuses on network intrusion detection systems rather than semantic text classification of scam messages.
le2026from,Q02,Google Scholar,From Black-Box to Glass-Box: Explainable AI for Applied Intelligent Software Systems Across the Software Development Life Cycle,THC Le; XB Le,2026,"… Conference on Industrial, Engineering and Other …",https://link.springer.com/chapter/10.1007/978-981-92-2891-1_8,"Artificial intelligence (AI), particularly large language models (LLMs), is increasingly (SMS) of explainable AI (XAI) in SE, spanning classical machine learning, deep learning, and LLM-",,EXCLUDE,EC4: Broad overview of explainable AI across software development lifecycle without specific empirical focus on scam message classification.
nguyen2026aienhanced,Q02,Google Scholar,AI-Enhanced Social Network with Recommendation and Usage Management,TL Nguyen,2026,,https://elib.vku.udn.vn/bitstream/123456789/7338/1/22SE1B-22IT.B130-Nguyen%20Tuyet%20Ly-DATN.pdf,"user behavior in Vietnam by the Ministry of (LLMs) are deep learning models trained on massive amounts of text data to understand and generate natural language. In this project, LLMs",,EXCLUDE,EC4: Focuses on social network recommendations and usage management rather than scam detection and classification.
bui2026building,Q02,Google Scholar,Building a Smart E-commerce System for the Fashion Industry,LNT Bui,2026,,https://elib.vku.udn.vn/bitstream/123456789/7238/1/22ITe-22IT.EB075-Bui%20Le%20Nhat%20Thong-DATN.pdf,"The rapid growth of e-commerce and digital transformation has significantly changed consumer shopping behavior in the fashion industry. However, many existing fashion e-commerce",,EXCLUDE,EC3: Focuses on e-commerce systems for the fashion industry without addressing scam message classification or LLM performance.
ma2026yuvion,Q02,Google Scholar,Yuvion LLM: An Adversarially-Aware Large Language Model for Content And AI Safety,T Ma; X Huang; B Cui; X Xu; S Qiu; R Jian; H Li,2026,arXiv preprint arXiv …,https://arxiv.org/abs/2606.27632,"unchanged, yet a general LLM that correctly rejects the original As content safety systems scale from text classification overlapping surface features with Spam & Flooding instances,",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
marjanov2026stayinalive,Q02,Google Scholar,Stayin'Alive: How Global Stolen Data Markets Thrive on Telegram,T Marjanov; T Tsuchiya; K Ioannidis; J Hughes,2026,… (USENIX Security'26),https://www.usenix.org/system/files/conference/usenixsecurity26/sec26_prepub_marjanov.pdf,"many cybercriminal activities, such as spam campaigns, spear phishing, and identity theft. the message contexts. We perform the classification using a Large Language Model (LLM)",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
kitikusoun2026adaptive,Q02,Google Scholar,Adaptive Semi-Personalized Email Classification Model (ASPEC) with Incremental Learning,W Kitikusoun; N Wisitpongphan,2026,Informatics,https://www.mdpi.com/2227-9709/13/6/79,"have focused primarily on spam detection, message-source on large language models (LLMs), deep learning infrastructure, Deep learning models and large language models (LLMs)",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
almakhamreh2026crossphire,Q02,Google Scholar,CrossPhire: Benefiting Multimodality for Robust Phishing Web Page Identification,AHA Almakhamreh; AS Bozkir,2026,Applied Sciences,https://www.mdpi.com/2076-3417/16/2/751,"[9] introduced a two-step phishing detection method based on large language models (LLMs obtain the semantic vector space of phishing intentions, (2) utilize it in anti-phishing and (3)",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
mayoralvilches2026cybersecurity,Q02,Google Scholar,Cybersecurity AI (CAI) Dataset,V Mayoral-Vilches,2026,arXiv preprint arXiv:2605.28146,https://arxiv.org/abs/2605.28146,"corpus of cybersecurity LLM trajectories collected through the bottleneck for cybersecurity LLM performance. CAI Dataset tool call, tool output and assistant message, and ships it to our",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
pham2026development,Q02,Google Scholar,Development of an Application for Communication Skills Training and Situation Handling Support,KH Pham; VHH Huynh,2026,,https://elib.vku.udn.vn/bitstream/123456789/7300/1/22SE1B-22IT.B101-Pham%20Khanh%20Hung-22SE1B-22IT.B096-Huynh%20Van%20Ha%20Huyen-DATN.pdf,"Recognizing the significant gap in the Vietnamese EdTech of modern technologies such as LLMs, RAG, and mobile -skills education for Vietnamese students while demonstrating the",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
mehta2026fragbench,Q02,Google Scholar,FragBench: Cross-Session Attacks Hidden in Benign-Looking Fragments,A Mehta; N Selvanayagam; C Lam; H Li,2026,arXiv preprint arXiv …,https://arxiv.org/abs/2605.11029,"have been LLM-assisted. We catalogued 24 campaigns in total: 13 with attacker LLM use directly observed (vendor platform telemetry or LLM API calls in deployed malware), 5 where",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
dinh2026building,Q02,Google Scholar,Building an E-commerce Website for Electronic Devices with AI Chatbot and Product Recommendation System,HV Dinh,2026,,https://elib.vku.udn.vn/bitstream/123456789/7340/1/22SE1B-22IT.B247-Dinh%20Hoang%20Vu-DATN.pdf,"Vietnam provides a particularly relevant market context for this thesis. According to the Third, standalone LLMs are not a complete solution. Large language models are powerful for",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
ojeh2026aidriven,Q02,Google Scholar,AI-Driven Cyber Deception in FinTech: An Adaptive Defense Strategy,I Ojeh¹; X Palmer; L Potter,2026,… of the 5th International Conference on …,https://books.google.com/books?hl=en&lr=&id=K-i-EQAAQBAJ&oi=fnd&pg=PA366&dq=(%22LLM%22+OR+%22LLM+prompting%22+OR+%22LLMs%22+OR+%22Large+Language+Model%22)+AND+(%22Vietnamese%22+OR+%22Vietnam%22)+AND+(%22scam%22+OR+%22phishing%22+OR+%22smishing%22+OR+%22spam%22)+AND+(%22message%22+OR+%22SMS%22+OR+%22text+classification%22)&ots=aS1PH5EMhx&sig=6FUv8dwiz4HZXBMWLq8eHY_cd-k,"Section 8 concludes and sketches future extensions, including large-language-model (LLM) login APIs, bypassing multi-factor where SMS intercept or session riding is viable. Data-",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
ren2026apt,Q02,Google Scholar,APT Attack Inference and Multidimensional Visual Representation,W Ren; M Xia; Q Zhang; C Liang,2026,,https://assets-eu.researchsquare.com/files/rs-8631020/v1_covered_6294e402-f024-4d3b-85c9-d5db246a78b9.pdf,"tion and introduces a large language model to perform semantic C-09 utilized spear-phishing emails to deliver malicious RTF attack origin was located in Vietnam, from which multiple",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
doan2026building,Q02,Google Scholar,Building and Developing a Job Search and Recommendation System,TD Doan; BM Vo,2026,,https://elib.vku.udn.vn/bitstream/123456789/7344/1/22SE1B-22IT.B041-Doan%20Tien%20Dat-22SE2B-22IT.B137-Vo%20Binh%20Minh.pdf,"Additionally, I would like to express my sincere appreciation to the faculty members of Vietnam-Korea University of Information and Communication Technology (VKU) in general, and",,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
caut2026documenting,Q02,Google Scholar,Documenting and Improving Prompts for Large Language Models,A Caut,2026,,,,,EXCLUDE,"EC4: Purely theoretical or vision papers lacking experimental datasets, practical implementations, or empirical evaluation."
nguyenxuan2026a,Q02,Google Scholar,A Mixed-Language Transformer Encoder Architecture for Social Media Phishing: Vietnamese-English Case Study,S Nguyen-Xuan; H Nguyen; GD Le; D Kim,2026,IEEE Access,https://ieeexplore.ieee.org/abstract/document/11523007/,"a monolingual Vietnamese encoder (PhoBERT) and a multilingual • We propose MLTEA that integrates PhoBERT and XLM- Alohaly, “Enhancing spam message classification and",,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
phap2026edgeai,Q02,Google Scholar,Edge-AI enabled smishing and suspicious SMS detection: a cost-sensitive and lightweight deep learning architecture,HC Phap,2026,Journal of Information and Telecommunication,https://www.tandfonline.com/doi/abs/10.1080/24751839.2026.2713250,"SMS phishing attacks have evolved far beyond typical spam campaigns, becoming a direct media text classification research has also investigated CNN, LSTM, BiLSTM, and PhoBERT-",,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
cam2026vnsed,Q02,Google Scholar,VNSED: Vietnamese spam email detection using multi deep learning models,NT Cam; NT Binh,2026,Journal of Computer Science and Cybernetics,https://vjs.ac.vn/jcc/article/view/22392,"for Vietnamese spam email detection, this study proposes a hybrid model that combines the strengths of PhoBERT and Convolutional Neural Networks (CNN). PhoBERT is employed to",,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
giang2026a,Q02,Google Scholar,A Code-Mixed Transformer Fusion Model for Spam Review Detection: Case study of Vietnamese E-commerce,LT Giang; S Nguyen-Xuan,2026,International Conference on Multidisciplinary …,https://link.springer.com/chapter/10.1007/978-3-032-33384-1_31,"framework that integrates PhoBERT [5] and XLM-R [7] through adaptive gating and threshold optimization, enabling robust modeling of Code-Mixed spam patterns. Recent advances in",,EXCLUDE,"EC1: Studies focusing solely on malware analysis, or pure URL identification via hash algorithms without semantic text analysis."
dirchaoui2026detecting,Q02,Google Scholar,Detecting Fraud in Moroccan E-Commerce Platforms Using an Explainable Deep Learning Model for Arabic Fake Reviews Classification,M Dirchaoui; A Abarda; A El Ouardighi,2026,ACM Transactions on Asian and …,https://dl.acm.org/doi/abs/10.1145/3799228,"whether a review is spam, and a multi-class classification task to identify the type of spam. The researchers reported that the pre-trained language model PhoBERT achieved the highest",,EXCLUDE,EC1: Focuses on Moroccan e-commerce reviews rather than Vietnamese scam messages or conversational fraud scripts.
le2026a,Q02,Google Scholar,A Hybrid Deep Learning Approach for Spam Comment Detection on Vietnamese Healthcare YouTube Channels,AQ Le; MT Le; TVK Ngo,2026,International Conference on Information and …,https://link.springer.com/chapter/10.1007/978-981-96-8793-0_13?fbclid=IwY2xjawPJSzNleHRuA2FlbQIxMABicmlkETFtUWROblRFcTVXOUd6ejB6c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHj_1BHI4y24alsZOSh9g-u4noAGLqvIoeNNFS3CF1VMfF8x-nCNXMY7mq3pP_aem_ZmFrZWR1bW15MTZieXRlcw&app=true&app=true,"spam comment detection and classification system based on a hybrid deep learning model that combines PhoBERT, combining PhoBERT, TextCNN, and BiLSTM to detect spam",,EXCLUDE,"EC1: Focuses on general YouTube comment spam rather than phishing, smishing, or scam messages targeting users."
model2026for,Q02,Google Scholar,for Spam Review Detection: Case study,ACMTF Model,2026,"… , MISNC 2026, Danang, Vietnam, August 10–12 …",https://books.google.com/books?hl=en&lr=&id=mLD4EQAAQBAJ&oi=fnd&pg=PA422&dq=(%22PhoBERT%22)+AND+(%22scam%22+OR+%22fraud%22+OR+%22spam%22)+AND+(%22sms%22+OR+%22message%22+OR+%22text+classification%22)&ots=Gkjx0_5wwt&sig=RUBWFlkY2MT4uGJELvh1jCBX_Oo,"common in spam. However, PhoBERT and XLM-R via parallel encoding and adaptive feature fusion, enabling dynamic exploitation of Vietnamese-specific cues and multilingual spam",,EXCLUDE,EC1: Focuses on general spam review detection rather than scam message or fraud classification.
velvizhi2026feddlspam,Q02,Google Scholar,FedDL-Spam: A Federated Deep Learning Model for Collaborative Spambot Detection in OSNs,G Velvizhi; N Poongavanam,2026,2026 International Conference …,https://ieeexplore.ieee.org/abstract/document/11506906/,"This assessment compared ten publicly available SMS spam -GRU, and ResNet for SMS spam detection using ten-fold on Vietnamese SMS spam data, leveraging PhoBERT for",,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
kumar2026fedspam,Q02,Google Scholar,FedSpam: Federated Learning for Privacy-Preserving Spam Detection Across Non-IID Data Distributions,D Kumar; R Gagneja; K Kahar,2026,… on Innovations in …,https://ieeexplore.ieee.org/abstract/document/11600073/,"Xiong [4] evaluated FedProx for spam filtering and showed that [5] introduced a privacy, centric SMS spam filter with [6] took this work further by applying it to Vietnamese SMS datasets",,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
huynh2026hfs,Q02,Google Scholar,HFS: Hierarchical Fine-Tuning for Span Detection and Aspect-Based Sentiment Analysis in the Vietnamese Language,ST Huynh; TM Huan; TNM Quang; PP Nhung,2026,… on Multimedia Modeling,https://link.springer.com/chapter/10.1007/978-981-95-6957-1_33,"We experimented with pretrained models like XLNet and PhoBERT Base for polarity classification, Our results indicate that PhoBERT-based models consistently achieve the highest",,EXCLUDE,EC1: Focuses on aspect-based sentiment analysis rather than scam message or fraud classification.
nguyen2026abnormal,Q02,Google Scholar,Abnormal job postings detection with explanation on Vietnamese job hunter platforms,VQH Nguyen; BKP Truong; AH Tran; DT Pham,2026,Neural Computing and …,https://link.springer.com/article/10.1007/s00521-026-12153-5,"used for detecting online recruitment fraud (ORF). Although aspect in detecting online recruitment fraud. To address these size of 512, except for PhoBERT, which has a maximum",,INCLUDE,Satisfies Title and Abstract inclusion criteria (IC1-IC4)
tran2026developing,Q02,Google Scholar,Developing a Business Startup Plan for Shieldnet-An AI System for Domain Protection and Moderation,VGB Tran,2026,,https://elib.vku.udn.vn/bitstream/123456789/7443/1/22GBA-22DM008-Tran%20Viet%20Gia%20Bao-DATN.pdf,This graduation thesis marks an important milestone in my academic journey. It is not only the result of my learning process but also a valuable opportunity to apply knowledge into a real,,EXCLUDE,"EC4: Purely academic thesis abstract lacking specific methodology, datasets, or empirical evaluation related to scam classification."
PCGGX3ZY,Q01,Google Scholar,21. Celebrity face-swaps and bikini beauties: the circulation of synthetic pornography in China,"de Seta, Gabriele",2026,Handbook on Anthropology and Artificial Intelligence,https://www.elgaronline.com/downloadpdf/edcollchap-oa/book/9781035342204/chapter21.pdf,,,EXCLUDE,EC4: Missing abstract and irrelevant topic regarding synthetic pornography.
